date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:33:59	118/118	---MCZ	200	added ('OK')	text/plain	etag:W/%22643410c1-10e%22	https://categorias/robots.txt		(from )
16:34:05	168325/168325	---M-Z	200	added ('OK')	text/html	date:Fri,%2023%20Feb%202024%2018:54:29%20GMT	https://categorias/developer/	C:/Users/Chriffy/Desktop/desing_novo/Portifolio/categorias/developer/index.html	(from )
16:34:08	3412/3412	---MCZ	200	added ('OK')	text/css	date:Mon,%2018%20Dec%202023%2002:54:39%20GMT	https://bslthemes.com/bslthms-advanced-btns/assets/style.css	C:/Users/Chriffy/Desktop/desing_novo/Portifolio/bslthemes.com/bslthms-advanced-btns/assets/style.css	(from https://categorias/developer/)
16:34:09	2125/2125	---M-Z	200	added ('OK')	text/css	etag:%2284d-6115b27115dc4-gzip%22	https://categorias/developer/wp-content/cache/autoptimize/3/css/autoptimize_single_d6c4c5774dd10fdbd9078ae08570a86d.css	C:/Users/Chriffy/Desktop/desing_novo/Portifolio/categorias/developer/wp-content/cache/autoptimize/3/css/autoptimize_single_d6c4c5774dd10fdbd9078ae08570a86d.css	(from https://categorias/developer/)
16:34:09	20935/20935	---M-Z	200	added ('OK')	text/css	etag:%2251c7-6119343bc9aa7-gzip%22	https://categorias/developer/wp-content/cache/autoptimize/3/css/autoptimize_single_618eb82c8ed8c4daa5af02bf6ec5cf74.css	C:/Users/Chriffy/Desktop/desing_novo/Portifolio/categorias/developer/wp-content/cache/autoptimize/3/css/autoptimize_single_618eb82c8ed8c4daa5af02bf6ec5cf74.css	(from https://categorias/developer/)
16:34:09	7096/7096	---M-Z	200	added ('OK')	application/rss+xml	etag:%220f42754f5f913b0b8144fdbca015a90b-gzip%22	https://categorias/developer/comments/feed/	C:/Users/Chriffy/Desktop/desing_novo/Portifolio/categorias/developer/comments/feed/index.html	(from https://categorias/developer/)
16:34:10	1091/1091	---M-Z	200	added ('OK')	text/css	etag:%22443-6115c00c7f705-gzip%22	https://categorias/developer/wp-content/cache/autoptimize/3/css/autoptimize_single_c4cb8ce92895c980d522733035579fbf.css	C:/Users/Chriffy/Desktop/desing_novo/Portifolio/categorias/developer/wp-content/cache/autoptimize/3/css/autoptimize_single_c4cb8ce92895c980d522733035579fbf.css	(from https://categorias/developer/)
16:34:10	22636/22636	---M-Z	200	added ('OK')	application/rss+xml	etag:%220f42754f5f913b0b8144fdbca015a90b-gzip%22	https://categorias/developer/feed/	C:/Users/Chriffy/Desktop/desing_novo/Portifolio/categorias/developer/feed/index.html	(from https://categorias/developer/)
16:34:15	108/108	---MC-	401	error ('Unauthorized')	application/json	date:Sun,%2025%20Feb%202024%2019:34:13%20GMT	https://categorias/developer/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcategorias%2Fdeveloper%2F	C:/Users/Chriffy/Desktop/desing_novo/Portifolio/categorias/developer/wp-json/oembed/1.0/embedffec	(from https://categorias/developer/)
16:34:20	167/167	---MC-	401	error ('Unauthorized')	text/xml	date:Sun,%2025%20Feb%202024%2019:34:17%20GMT	https://categorias/developer/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcategorias%2Fdeveloper%2F&format=xml	C:/Users/Chriffy/Desktop/desing_novo/Portifolio/categorias/developer/wp-json/oembed/1.0/embed5098	(from https://categorias/developer/)
16:34:20	87553/87553	---M-Z	200	added ('OK')	application/javascript	etag:%2215601-60a6d395bc08a-gzip%22	https://categorias/developer/wp-includes/js/jquery/jquery.min.js	C:/Users/Chriffy/Desktop/desing_novo/Portifolio/categorias/developer/wp-includes/js/jquery/jquery.min.js	(from https://categorias/developer/)
16:34:20	1513/1513	---M--	200	added ('OK')	image/png	etag:%225e9-5fa681e327063%22	https://categorias/developer/wp-content/uploads/sites/3/2023/04/cropped-logo4n-32x32.png	C:/Users/Chriffy/Desktop/desing_novo/Portifolio/categorias/developer/wp-content/uploads/sites/3/2023/04/cropped-logo4n-32x32.png	(from https://categorias/developer/)
16:34:23	14999/14999	---M--	200	added ('OK')	image/png	etag:%223a97-5fa681e3231e3%22	https://categorias/developer/wp-content/uploads/sites/3/2023/04/cropped-logo4n-180x180.png	C:/Users/Chriffy/Desktop/desing_novo/Portifolio/categorias/developer/wp-content/uploads/sites/3/2023/04/cropped-logo4n-180x180.png	(from https://categorias/developer/)
16:36:25	347/347	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2025%20Feb%202024%2019:36:25%20GMT	https://categorias/developer/wp-content/themes/ ch	C:/Users/Chriffy/Desktop/desing_novo/Portifolio/categorias/developer/wp-content/themes/ ch.e.delayed	(from https://categorias/developer/)
16:36:29	73539/73539	---M--	200	added ('OK')	image/jpeg	etag:%2211f43-5f8feafe3c0a3%22	https://categorias/developer/wp-content/uploads/sites/3/2022/07/dev-bg-3-1200x812.jpg	C:/Users/Chriffy/Desktop/desing_novo/Portifolio/categorias/developer/wp-content/uploads/sites/3/2022/07/dev-bg-3-1200x812.jpg	(from https://categorias/developer/)
16:36:29	4499/4499	---M--	200	added ('OK')	image/png	etag:%221193-5f8feafa30e1e%22	https://categorias/developer/wp-content/uploads/sites/3/2022/07/brand3_w-184x62.png	C:/Users/Chriffy/Desktop/desing_novo/Portifolio/categorias/developer/wp-content/uploads/sites/3/2022/07/brand3_w-184x62.png	(from https://categorias/developer/)
16:36:32	82418/82418	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Feb%202024%2002:56:26%20GMT	https://categorias/developer/2020/04/28/a-song-and-dance-act/	C:/Users/Chriffy/Desktop/desing_novo/Portifolio/categorias/developer/2020/04/28/a-song-and-dance-act/index.html	(from https://categorias/developer/)
16:36:33	5561/5561	---M--	200	added ('OK')	image/png	etag:%2215b9-5f8feafc07960%22	https://categorias/developer/wp-content/uploads/sites/3/2022/07/brand1_w-184x62.png	C:/Users/Chriffy/Desktop/desing_novo/Portifolio/categorias/developer/wp-content/uploads/sites/3/2022/07/brand1_w-184x62.png	(from https://categorias/developer/)
16:36:33	84038/84038	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Feb%202024%2002:59:00%20GMT	https://categorias/developer/2020/04/28/by-spite-about-do-of-allow/	C:/Users/Chriffy/Desktop/desing_novo/Portifolio/categorias/developer/2020/04/28/by-spite-about-do-of-allow/index.html	(from https://categorias/developer/)
16:36:33	5186/5186	---M--	200	added ('OK')	image/png	etag:%221442-5f8feafbb1a60%22	https://categorias/developer/wp-content/uploads/sites/3/2022/07/brand2_w-184x62.png	C:/Users/Chriffy/Desktop/desing_novo/Portifolio/categorias/developer/wp-content/uploads/sites/3/2022/07/brand2_w-184x62.png	(from https://categorias/developer/)
16:36:34	80641/80641	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Feb%202024%2003:01:37%20GMT	https://categorias/developer/2020/04/28/music-player-design/	C:/Users/Chriffy/Desktop/desing_novo/Portifolio/categorias/developer/2020/04/28/music-player-design/index.html	(from https://categorias/developer/)
